Code_Filiere,Nom_Filiere,Universite,Etablissement,SDO_2023,SDO_2024,SDO_2025,Code_RIASEC,Taux_Employabilite,Croissance_Domaine,Alignment_National,source
ECO001,"Licence en Arabe","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",86.7539,73.8752,92.3517,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO002,"Licence en Anglais","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",91.4209,107.5939,81.2024,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
ECO003,"Licence en Français","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",80.3931,79.237,82.26,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
ECO004,"Licence en Sociologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",89.5082,83.1356,86.0208,SIE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO005,"Licence en Psychologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",130.81,142.305,122.28,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
ECO006,"Licence en Philosophie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",92.9472,116.6675,81.4523,ASE,"Très Faible",Déclin,Modéré,"Analyse sectorielle & OMQ"
ECO007,"Licence en Histoire","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",92.7851,80.8632,78.9466,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO008,"Licence en Géographie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",80.1664,78.1467,79.5224,IRC,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO009,"Licence en Médiation et Animation","Université de Tunis","Institut Supérieur de l'Animation pour la Jeunesse et la Culture - Le Bardo",97.895,110.25,104.715,EAS,Moyen,Croissance,Élevé,"Analyse sectorielle & OMQ"
ECO010,"Licence en Arts Plastiques","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",76.9367,74.1153,85.6269,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO011,"Licence en Design d'Espace","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",109.117,115.72,107.2782,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
ECO012,"Licence en Design de Produit","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",97.2489,98.2902,92.3838,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
ECO013,"Licence en Design d'Image","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",92.8331,99.7525,88.7298,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
ECO014,"Licence en Musique et Sciences Musicales","Université de Tunis","Institut Supérieur de Musique de Tunis",80.4982,74.934,74.4368,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO015,"Licence en Théâtre et Arts du Spectacle","Université de Tunis","Institut Supérieur d'Art Dramatique de Tunis",79.24,77.1551,74.6782,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
ECO016,"Licence en Informatique de Gestion","Université de Tunis","Institut Supérieur de Gestion de Tunis",165.48,175.015,166.955,CIE,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
ECO017,"Licence en Sciences Économiques","Université de Tunis","Institut Supérieur de Gestion de Tunis",137.8588,151.8651,143.7652,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
ECO018,"Licence en Sciences de Gestion","Université de Tunis","Institut Supérieur de Gestion de Tunis",154.7167,171.4461,164.6249,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
ECO019,"Licence en Informatique de Gestion","Université de Tunis","École Supérieure des Sciences Économiques et Commerciales de Tunis",149.4897,163.155,151.8277,CIE,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
ECO020,"Licence en Sciences Économiques","Université de Tunis","École Supérieure des Sciences Économiques et Commerciales de Tunis",112.1146,124.0951,120.3395,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
ECO021,"Licence en Sciences de Gestion","Université de Tunis","École Supérieure des Sciences Économiques et Commerciales de Tunis",133.3755,153.155,148.6979,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
