Code_Filiere,Nom_Filiere,Universite,Etablissement,SDO_2023,SDO_2024,SDO_2025,Code_RIASEC,Taux_Employabilite,Croissance_Domaine,Alignment_National,source
EXP001,"Licence en Arabe","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",129.1169,130.9413,122.105,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
EXP002,"Licence en Anglais","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",142.7327,151.817,124.25,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
EXP003,"Licence en Français","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",147.3283,115.1036,122.0512,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
EXP004,"Licence en Sociologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",121.665,117.2453,98.9185,SIE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
EXP005,"Licence en Psychologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",127.5,123.795,127.165,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
EXP006,"Licence en Philosophie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",94.415,113.0509,94.6684,ASE,"Très Faible",Déclin,Modéré,"Analyse sectorielle & OMQ"
EXP007,"Licence en Histoire","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",86.1208,106.7771,110.0656,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
EXP008,"Licence en Géographie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",123.1035,102.4134,103.7686,IRC,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
EXP009,"Licence en Géomatique et Aménagement","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",87.2815,90.6852,89.0233,IRC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
EXP010,"Licence en Médiation et Animation","Université de Tunis","Institut Supérieur de l'Animation pour la Jeunesse et la Culture - Le Bardo",117.81,131.82,109.495,EAS,Moyen,Croissance,Élevé,"Analyse sectorielle & OMQ"
