Code_Filiere,Nom_Filiere,Universite,Etablissement,SDO_2023,SDO_2024,SDO_2025,Code_RIASEC,Taux_Employabilite,Croissance_Domaine,Alignment_National,source
INF001,"Licence en Arabe","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",147.9275,98.1888,117.4165,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF002,"Licence en Anglais","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",153.6574,115.9397,131.5298,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF003,"Licence en Français","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",154.8504,110.3652,120.4851,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF004,"Licence en Sociologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",,105.6625,113.5377,SIE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF005,"Licence en Psychologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",151.995,108.49,130.54,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF006,"Licence en Philosophie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",,120.14,127.5708,ASE,"Très Faible",Déclin,Modéré,"Analyse sectorielle & OMQ"
INF007,"Licence en Géomatique et Aménagement","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",98.195,83.9816,78.2282,IRC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF008,"Licence en Médiation et Animation","Université de Tunis","Institut Supérieur de l'Animation pour la Jeunesse et la Culture - Le Bardo",98.585,118.425,91.7101,EAS,Moyen,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF009,"Licence en Arts Plastiques","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",89.8033,91.1105,71.9832,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF010,"Licence en Design d'Espace","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",109.3291,109.0849,109.0223,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF011,"Licence en Design de Produit","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",103.145,101.0829,103.0571,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF012,"Licence en Design d'Image","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",111.7027,106.1349,88.2945,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF013,"Licence en Musique et Sciences Musicales","Université de Tunis","Institut Supérieur de Musique de Tunis",107.5973,99.6152,99.4318,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF014,"Licence en Théâtre et Arts du Spectacle","Université de Tunis","Institut Supérieur d'Art Dramatique de Tunis",90.3952,88.4485,81.7415,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF015,"Filière préparatoire scientifique","Université de Tunis","Institut Préparatoire aux Études d'Ingénieurs de Tunis",153.88,163.99,154.115,IRC,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF016,"Licence en Informatique de Gestion","Université de Tunis","Institut Supérieur de Gestion de Tunis",174.71,170.1728,156.9316,CIE,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF017,"Licence en Sciences de Gestion","Université de Tunis","Institut Supérieur de Gestion de Tunis",153.5183,149.5646,148.4465,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF018,"Licence en Informatique de Gestion","Université de Tunis","École Supérieure des Sciences Économiques et Commerciales de Tunis",157.3649,158.0069,146.9538,CIE,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF019,"Licence en Sciences de Gestion","Université de Tunis","École Supérieure des Sciences Économiques et Commerciales de Tunis",126.4901,136.7407,143.2677,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF020,"Licence en Conservation et Restauration des Biens Culturels","Université de Tunis","Institut Supérieur des Métiers du Patrimoine de Tunis",,,88.5711,RIC,Faible,Déclin,Élevé,"Analyse sectorielle & OMQ"
INF021,"Filière préparatoire - Langues et Lettres: Arabe","Université de Tunis","Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis",,,96.345,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF022,"Filière préparatoire - Langues et Lettres: Français","Université de Tunis","Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis",,149.8225,98.11,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF023,"Filière préparatoire - Langues et Lettres: Anglais","Université de Tunis","Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis",114.77,118.2925,117.9975,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF024,"Filière préparatoire - Sciences Humaines: Histoire","Université de Tunis","Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis",,89.73,91.965,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF025,"Licence en Éducation et Enseignement","Université de Tunis","Institut Supérieur des Études Appliquées en Humanités de Zaghouan",116.055,125.655,151.35,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF026,"Filière préparatoire intégrée","Université de Tunis","Institut Supérieur du Numérique de Tunis",,187.37,190.9433,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF027,"Baccalauréat en Administration des Affaires","Université de Tunis","Institut Supérieur des Affaires de Tunis",173.28,170.935,162.325,ECI,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF028,"Licence en Italien","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",107.7,124.853,123.8525,ASE,Moyen,Stable,Modéré,"Analyse sectorielle & OMQ"
INF029,"Licence en Allemand","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",97.9639,101.0563,124.0826,ASE,Moyen,Stable,Modéré,"Analyse sectorielle & OMQ"
INF030,"Licence en Géomatique Environnement et Aménagement","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",94.1999,97.575,101.965,IRC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF031,"Licence en Géopolitique et Relations Internationales","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",117.31,114.3783,126.7,IEC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF032,"Licence en Arabe","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",155.6636,107.0107,97.83,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF033,"Licence en Anglais","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",132.9101,121.9389,131.9096,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF034,"Licence en Français","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",,91.1034,92.5516,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF035,"Licence en Géographie","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",,,109.7001,IRC,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF036,"Filière préparatoire - Langues et Lettres: Arabe","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",,,101.0725,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
INF037,"Filière préparatoire - Langues et Lettres: Français","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",,,89.6293,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF038,"Filière préparatoire - Langues et Lettres: Anglais","Université de la Manouba","Faculté des Lettres des Arts et des Humanités de La Manouba",142.95,113.446,107.72,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF039,"Licence en Journalisme","Université de la Manouba","Institut de Presse et des Sciences de l'Information",111.875,111.2851,109.1925,EAS,Moyen,Déclin,Modéré,"Analyse sectorielle & OMQ"
INF040,"Licence en Communication","Université de la Manouba","Institut de Presse et des Sciences de l'Information",114.25,97.1983,104.2425,EAS,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF041,"Licence en Gestion Électronique de l'Information et des Documents","Université de la Manouba","Institut Supérieur de Documentation de Tunis",82.7983,74.7872,74.2205,CIR,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF042,"Licence en Documentation Sciences Bibliothéconomiques et Archivistique","Université de la Manouba","Institut Supérieur de Documentation de Tunis",81.8808,85.9036,97.9083,CIR,Moyen,Stable,Modéré,"Analyse sectorielle & OMQ"
INF043,"Licence en Éducation Spécialisée","Université de la Manouba","Institut Supérieur de l'Éducation Spécialisée",116.3917,98.5883,108.7467,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF044,"Licence en Sciences de Gestion","Université de la Manouba","Institut Supérieur de Comptabilité et d'Administration des Entreprises de La Manouba",130.631,139.0251,134.6595,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF045,"Licence en Sciences de Gestion","Université de la Manouba","École Supérieure de Commerce de La Manouba",130.1923,136.5695,134.1138,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF046,"Licence en Cinéma et Audiovisuel","Université de la Manouba","Institut Supérieur des Arts Multimédias de La Manouba",124.3073,99.8867,97.5571,ARE,Moyen,Croissance,Modéré,"Analyse sectorielle & OMQ"
INF047,"Licence en Sciences Informatiques","Université de la Manouba","Institut Supérieur des Arts Multimédias de La Manouba",185.3989,185.9072,173.28,IRC,"Très Élevé",Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF048,"Licence en Arts et Médias","Université de la Manouba","Institut Supérieur des Arts Multimédias de La Manouba",127.5654,123.3817,113.8982,ARE,Moyen,Croissance,Modéré,"Analyse sectorielle & OMQ"
INF049,"Licence en Design d'Espace","Université de la Manouba","École Supérieure des Sciences et Technologies du Design",117.93,108.6712,108.4499,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF050,"Licence en Design de Produit","Université de la Manouba","École Supérieure des Sciences et Technologies du Design",105.0828,99.706,94.5617,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF051,"Licence en Design d'Image","Université de la Manouba","École Supérieure des Sciences et Technologies du Design",109.2738,107.3961,76.86,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF052,"Licence en Sciences et Techniques des Activités Physiques et Sportives","Université de la Manouba","Institut Supérieur du Sport et de l'Éducation Physique du Kram",133.3755,160.5482,148.0024,RIC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF053,"Licence en Informatique de Gestion","Université de la Manouba","École Supérieure d'Économie Numérique de La Manouba",162.8005,163.3034,149.0189,CIE,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF054,"Filière préparatoire intégrée: Maths-Physique-Chimie","Université de la Manouba","École Nationale d'Ingénieurs de La Manouba",165.645,173.3475,175.5625,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF055,"Filière préparatoire intégrée: Maths-Physique et Informatique","Université de la Manouba","École Nationale d'Ingénieurs de La Manouba",188.4775,187.76,178.8,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF056,"Licence en Sciences Géomatiques et Applications","Université de Tunis El Manar","Faculté des Sciences de Tunis",101.0936,104.4534,111.905,IRC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
INF057,"Licence en Mathématiques Appliquées","Université de Tunis El Manar","Faculté des Sciences de Tunis",154.9895,140.2021,151.1161,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF058,"Licence en Mathématiques","Université de Tunis El Manar","Faculté des Sciences de Tunis",183.3071,130.9841,165.7751,IRC,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF059,"Filière préparatoire intégrée","Université de Tunis El Manar","Faculté des Sciences de Tunis",188.9833,189.8017,183.775,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF060,"Licence en Ingénierie des Systèmes d'Informatique","Université de Tunis El Manar","Faculté des Sciences de Tunis",180.8354,181.686,165.2508,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF061,"Licence en Technologies de l'Information et de la Communication","Université de Tunis El Manar","Faculté des Sciences de Tunis",149.2833,148.6854,142.6738,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF062,"Licence en Électronique Électrotechnique et Automatique","Université de Tunis El Manar","Faculté des Sciences de Tunis",179.0057,107.3103,148.9922,IRC,Élevé,Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF063,"Filière préparatoire scientifique: Physique - Chimie","Université de Tunis El Manar","Faculté des Sciences de Tunis",161.59,178.6051,140.325,IRC,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
INF064,"Licence en Sciences Informatiques","Université de Tunis El Manar","Faculté des Sciences de Tunis",193.6593,193.4079,183.5211,IRC,"Très Élevé",Croissance,"Très Élevé","Analyse sectorielle & OMQ"
INF065,"Licence en Droit","Université de Tunis El Manar","Faculté de Droit et des Sciences Politiques de Tunis",128.4696,119.091,148.5053,ECI,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
