Code_Filiere,Nom_Filiere,Universite,Etablissement,SDO_2023,SDO_2024,SDO_2025,Code_RIASEC,Taux_Employabilite,Croissance_Domaine,Alignment_National,source
SPO001,"Licence en Anglais","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",116.2662,143.5245,147.625,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
SPO002,"Licence en Français","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",155.34,108.5462,113.6502,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
SPO003,"Licence en Psychologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",172.835,174.87,187.575,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
SPO004,"Licence en Philosophie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",101.93,114.4633,114.95,ASE,"Très Faible",Déclin,Modéré,"Analyse sectorielle & OMQ"
SPO005,"Licence en Médiation et Animation","Université de Tunis","Institut Supérieur de l'Animation pour la Jeunesse et la Culture - Le Bardo",81.81,92.2382,133.42,EAS,Moyen,Croissance,Élevé,"Analyse sectorielle & OMQ"
SPO006,"Licence en Arts Plastiques","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",,107.2782,113.5217,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
SPO007,"Licence en Design d'Espace","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",174.9236,183.5478,175.1911,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
SPO008,"Licence en Design de Produit","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",111.7187,115.2979,172.7676,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
SPO009,"Licence en Design d'Image","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",58.8148,99.2481,142.5936,ARE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
SPO010,"Licence en Musique et Sciences Musicales","Université de Tunis","Institut Supérieur de Musique de Tunis",165.6895,84.5751,102.405,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
SPO011,"Licence en Théâtre et Arts du Spectacle","Université de Tunis","Institut Supérieur d'Art Dramatique de Tunis",90.435,92.6418,109.145,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
SPO012,"Filière préparatoire - Langues et Lettres: Arabe","Université de Tunis","Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis",,,95.5125,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
SPO013,"Filière préparatoire - Langues et Lettres: Français","Université de Tunis","Institut Préparatoire aux Études Littéraires et de Sciences Humaines de Tunis",,114.44,150.6325,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
