Code_Filiere,Nom_Filiere,Universite,Etablissement,SDO_2023,SDO_2024,SDO_2025,Code_RIASEC,Taux_Employabilite,Croissance_Domaine,Alignment_National,source
TEC001,"Licence en Anglais","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",118.555,122.9663,127.633,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
TEC002,"Licence en Français","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",106.5471,102.9515,100.7692,ASE,Moyen,Stable,Élevé,"Analyse sectorielle & OMQ"
TEC003,"Licence en Sociologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",131.5244,121.72,125.6501,SIE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
TEC004,"Licence en Psychologie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",139.025,138.42,126.165,SIE,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
TEC005,"Licence en Philosophie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",101.8052,106.8016,88.1395,ASE,"Très Faible",Déclin,Modéré,"Analyse sectorielle & OMQ"
TEC006,"Licence en Histoire","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",103.23,111.775,105.19,ASE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
TEC007,"Licence en Géographie","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",77.9401,92.29,88.6565,IRC,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
TEC008,"Licence en Géomatique et Aménagement","Université de Tunis","Faculté des Sciences Humaines et Sociales de Tunis",74.9282,75.045,72.3251,IRC,Élevé,Croissance,Élevé,"Analyse sectorielle & OMQ"
TEC009,"Licence en Médiation et Animation","Université de Tunis","Institut Supérieur de l'Animation pour la Jeunesse et la Culture - Le Bardo",125.57,113.41,133.91,EAS,Moyen,Croissance,Élevé,"Analyse sectorielle & OMQ"
TEC010,"Licence en Arts Plastiques","Université de Tunis","Institut Supérieur des Beaux-Arts de Tunis",86.0769,73.2119,87.683,ARE,Faible,Stable,Modéré,"Analyse sectorielle & OMQ"
